Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 1,FAST,BRIEF,MAT_BF,SEL_KNN,12.5923,12.5604
Image 2,FAST,BRIEF,MAT_BF,SEL_KNN,11.981,12.6628
Image 3,FAST,BRIEF,MAT_BF,SEL_KNN,14.3325,16.2563
Image 4,FAST,BRIEF,MAT_BF,SEL_KNN,13.2479,13.834
Image 5,FAST,BRIEF,MAT_BF,SEL_KNN,18.5414,13.0305
Image 6,FAST,BRIEF,MAT_BF,SEL_KNN,13.1842,13.3877
Image 7,FAST,BRIEF,MAT_BF,SEL_KNN,11.7538,13.2877
Image 8,FAST,BRIEF,MAT_BF,SEL_KNN,11.5939,13.671
Image 9,FAST,BRIEF,MAT_BF,SEL_KNN,11.4727,14.6431
Image 10,FAST,BRIEF,MAT_BF,SEL_KNN,13.8255,9.85736
Image 11,FAST,BRIEF,MAT_BF,SEL_KNN,14.0776,14.9877
Image 12,FAST,BRIEF,MAT_BF,SEL_KNN,12.1053,10.1
Image 13,FAST,BRIEF,MAT_BF,SEL_KNN,11.7236,9.22307
Image 14,FAST,BRIEF,MAT_BF,SEL_KNN,10.5571,10.9678
Image 15,FAST,BRIEF,MAT_BF,SEL_KNN,11.1224,8.09422
Image 16,FAST,BRIEF,MAT_BF,SEL_KNN,10.7037,8.81392
Image 17,FAST,BRIEF,MAT_BF,SEL_KNN,8.00497,10.2926
Image 18,FAST,BRIEF,MAT_BF,SEL_KNN,10.6939,8.30978
Image 1,FAST,SIFT,MAT_BF,SEL_KNN,11.7503,12.5604
Image 2,FAST,SIFT,MAT_BF,SEL_KNN,12.6919,12.6628
Image 3,FAST,SIFT,MAT_BF,SEL_KNN,14.7592,16.2563
Image 4,FAST,SIFT,MAT_BF,SEL_KNN,12.8778,13.834
Image 5,FAST,SIFT,MAT_BF,SEL_KNN,13.5969,13.0305
Image 6,FAST,SIFT,MAT_BF,SEL_KNN,12.8011,13.3877
Image 7,FAST,SIFT,MAT_BF,SEL_KNN,12.2084,13.2877
Image 8,FAST,SIFT,MAT_BF,SEL_KNN,12.186,13.671
Image 9,FAST,SIFT,MAT_BF,SEL_KNN,12.5506,14.6431
Image 10,FAST,SIFT,MAT_BF,SEL_KNN,13.5653,9.85736
Image 11,FAST,SIFT,MAT_BF,SEL_KNN,13.5948,14.9877
Image 12,FAST,SIFT,MAT_BF,SEL_KNN,11.6337,10.1
Image 13,FAST,SIFT,MAT_BF,SEL_KNN,11.3906,9.22307
Image 14,FAST,SIFT,MAT_BF,SEL_KNN,10.5085,10.9678
Image 15,FAST,SIFT,MAT_BF,SEL_KNN,11.3161,8.09422
Image 16,FAST,SIFT,MAT_BF,SEL_KNN,11.2358,8.81392
Image 17,FAST,SIFT,MAT_BF,SEL_KNN,8.59249,10.2926
Image 18,FAST,SIFT,MAT_BF,SEL_KNN,9.49902,8.30978
Image 1,FAST,BRISK,MAT_BF,SEL_KNN,12.3733,12.5604
Image 2,FAST,BRISK,MAT_BF,SEL_KNN,12.9541,12.6628
Image 3,FAST,BRISK,MAT_BF,SEL_KNN,12.9015,16.2563
Image 4,FAST,BRISK,MAT_BF,SEL_KNN,12.6515,13.834
Image 5,FAST,BRISK,MAT_BF,SEL_KNN,49.1992,13.0305
Image 6,FAST,BRISK,MAT_BF,SEL_KNN,12.6793,13.3877
Image 7,FAST,BRISK,MAT_BF,SEL_KNN,12.041,13.2877
Image 8,FAST,BRISK,MAT_BF,SEL_KNN,10.386,13.671
Image 9,FAST,BRISK,MAT_BF,SEL_KNN,11.4554,14.6431
Image 10,FAST,BRISK,MAT_BF,SEL_KNN,12.2131,9.85736
Image 11,FAST,BRISK,MAT_BF,SEL_KNN,12.5114,14.9877
Image 12,FAST,BRISK,MAT_BF,SEL_KNN,11.8008,10.1
Image 13,FAST,BRISK,MAT_BF,SEL_KNN,11.5069,9.22307
Image 14,FAST,BRISK,MAT_BF,SEL_KNN,11.6009,10.9678
Image 15,FAST,BRISK,MAT_BF,SEL_KNN,11.1676,8.09422
Image 16,FAST,BRISK,MAT_BF,SEL_KNN,11.7851,8.81392
Image 17,FAST,BRISK,MAT_BF,SEL_KNN,7.779,10.2926
Image 18,FAST,BRISK,MAT_BF,SEL_KNN,10.6637,8.30978
Image 1,FAST,FREAK,MAT_BF,SEL_KNN,10.195,12.5604
Image 2,FAST,FREAK,MAT_BF,SEL_KNN,11.838,12.6628
Image 3,FAST,FREAK,MAT_BF,SEL_KNN,11.2894,16.2563
Image 4,FAST,FREAK,MAT_BF,SEL_KNN,11.554,13.834
Image 5,FAST,FREAK,MAT_BF,SEL_KNN,10.048,13.0305
Image 6,FAST,FREAK,MAT_BF,SEL_KNN,12.6793,13.3877
Image 7,FAST,FREAK,MAT_BF,SEL_KNN,12.041,13.2877
Image 8,FAST,FREAK,MAT_BF,SEL_KNN,11.6793,13.671
Image 9,FAST,FREAK,MAT_BF,SEL_KNN,11.6049,14.6431
Image 10,FAST,FREAK,MAT_BF,SEL_KNN,13.0515,9.85736
